operator,name_from,name_to,vehicle_class,price,distance,effective_from,effective_to,season_start,season_end,source_id
APRR,ALLAINVILLE,BEAUPONT,1,58.60,475.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BEAUREPAIRE,1,56.50,447.12,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BELLEVILLE S/SAONE,1,56.60,448.12,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BERSAILLIN,1,55.10,427.13,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BESANCON EST,1,55.60,452.64,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BESANCON NORD,1,55.60,438.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BESANCON OUEST,1,55.60,428.62,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BEYNOST,1,64.60,529.40,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BIERRE-LES-SEMUR,1,39.40,270.92,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BOURG NORD,1,56.80,449.01,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BOURG SUD,1,58.10,469.44,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BULGNEVILLE,1,50.10,402.47,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHALON CENTRE,1,49.50,364.52,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHALON NORD,1,49.50,361.64,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHALON SUD,1,49.50,370.72,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHATENOIS,1,50.70,412.62,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHATILLON-LABORDE,1,36.40,225.84,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHAUMONT-SEMOUTIERS,1,43.10,320.09,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CHOISEY,1,51.90,393.83,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,CLERMONT-BARRIERE,1,41.40,363.18,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,COLOMBEY-LES-BELLES,1,53.50,441.32,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,COMBRONDE,1,36.70,325.96,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,COURTENAY,1,28.60,146.91,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,DIJON SUD,1,49.70,372.32,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,DIJON-ARC S/TILLE,1,51.40,387.48,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,DIJON-CRIMOLOIS,1,50.70,419.82,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,DOLE,1,51.90,396.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,FEILLENS,1,54.20,424.10,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,FLEURY-EN-BIERE,1,35.00,230.86,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,FONTAINEBLEAU,1,32.30,187.91,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,FORET DE TRONCAIS,1,29.00,244.35,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,FORGES,1,34.00,208.57,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,GANNAT,1,36.40,323.97,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,GENDREY,1,53.00,412.60,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,GERZAT-VILLE,1,38.30,344.82,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,GROISSIAT,1,65.00,520.47,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,GYE,1,55.80,454.93,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,JOIGNY,1,30.30,163.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,L ISLE-S/LE-DOUBS,1,60.00,489.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LA BOISSE,1,66.10,541.05,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LA BOISSE - MONTLUEL,1,63.70,519.52,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LA COTIERE,1,64.50,525.48,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LA CROIX-CHALON,1,63.20,505.87,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LANGRES NORD,1,45.20,346.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LANGRES SUD,1,46.00,353.07,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LE MIROIR,1,57.60,462.26,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,LES EPRUNES,1,37.50,249.44,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MACON NORD,1,54.10,416.52,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MACON SUD,1,55.00,426.85,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MAGNANT,1,39.60,269.25,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MAROLLES-SUR-SEINE,1,34.00,201.05,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MONTIGNY-LE-ROI,1,46.90,366.52,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MONTLUCON,1,31.40,269.28,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,MONTMARAULT,1,32.70,281.88,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,NEMOURS,1,32.30,184.96,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,NITRY,1,35.40,225.72,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,NUITS-ST-GEORGES,1,48.00,354.82,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,PEROUGES,1,62.10,508.67,2026-02-01,2027-01-31,,,aprr-class1-2026
