name,operator,lat,lon,type
ALENCON NORD,UNKNOWN,48.4530431,0.1240957,closed
ALENCON SUD,UNKNOWN,48.3978618,0.1046972,closed
ROUESSE FONTAINE,UNKNOWN,48.31154,0.1335365,closed
MARESCHE,UNKNOWN,48.1967147,0.1688051,closed
LE MANS OUEST,UNKNOWN,48.0217292,0.1273963,closed
LE MANS SUD,UNKNOWN,47.9737203,0.0575183,closed
SABLE LA FLECHE,UNKNOWN,47.7755032,-0.2086032,closed
DURTAL,UNKNOWN,47.6678426,-0.2596964,closed
SEICHES SUR LE LOIR,UNKNOWN,47.5664551,-0.3279756,closed
PEAGE DE CORZE,UNKNOWN,47.5393628,-0.3410345,closed
JOUE EN CHARNIE,UNKNOWN,48.0043802,-0.2173331,closed
VAIGES,UNKNOWN,48.0555468,-0.4872759,closed
LAVAL EST,UNKNOWN,48.1076995,-0.7384822,closed
LAVAL OUEST,UNKNOWN,48.1045802,-0.8343026,closed
PEAGE DE LA GRAVELLE,UNKNOWN,48.0828379,-1.0276084,closed
BEAUFORT EN VALLEE,UNKNOWN,47.4681192,-0.1935225,closed
LONGUE - LONGUE JUMELLES,UNKNOWN,47.4045141,-0.1159748,closed
VIVY SAUMUR,UNKNOWN,47.310571,-0.0317123,closed
BOURGUEIL,UNKNOWN,47.2532013,0.166591,closed
PEAGE DE RESTIGNE,UNKNOWN,47.2702961,0.2538241,closed
PEAGE DE VEAUCHETTE,ASF,45.560687,4.2418185,closed
MONTBRISON MONTROND,ASF,45.6373059,4.1960802,closed
FEURS,ASF,45.7375962,4.1862842,closed
PEAGE DE ST ROMAIN DE POPEY,ASF,45.8719396,4.5088342,closed
TARARE EST FERME,ASF,45.8719026,4.5088503,closed
TARARE OUEST,ASF,45.8916265,4.4031281,closed
BALBIGNY,ASF,45.8411009,4.1641534,closed
ST GERMAIN LAVAL,ASF,45.8609213,4.0420209,closed
NOIRETABLE,ASF,45.8493579,3.7942361,closed
THIERS EST,ASF,45.8787911,3.6248586,closed
THIERS OUEST,ASF,45.8599682,3.5037813,closed
LEZOUX,ASF,45.8485714,3.383616,closed
PEAGE DES MARTRES D ARTIERE,ASF,45.8279708,3.2411609,closed
TARARE EST OUVERT,ASF,45.8763081,4.522054,open
MANZAT,APRR,45.9539605,2.9826574,closed
VULCANIA BROMONT,APRR,45.8339019,2.822617,closed
ST JULIEN SANCY,APRR,45.6663047,2.6824524,closed
USSEL EST,APRR,45.5889363,2.4145518,closed
USSEL OUEST,APRR,45.5124063,2.2588909,closed
